,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
latitude,1.0,0.11020351336599275,0.15442266789013304,0.2553022278516011,0.24476627452440977
longitude,0.11020351336599275,1.0,-0.04710902798862962,-0.08181352726168341,-0.07295022015775786
pollutant_min,0.15442266789013304,-0.04710902798862962,1.0,0.770508600751181,0.8465338366682174
pollutant_max,0.2553022278516011,-0.08181352726168341,0.770508600751181,1.0,0.9470824515854138
pollutant_avg,0.24476627452440977,-0.07295022015775786,0.8465338366682174,0.9470824515854138,1.0
