latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
28.699793,77.165453,20.0,47.0,29.0
23.107969,72.574648,81.0,181.0,114.0
23.107969,72.574648,79.0,196.0,131.0
23.107969,72.574648,3.0,10.0,5.0
23.107969,72.574648,19.0,81.0,24.0
22.977134,72.553024,3.0,23.0,10.0
23.221714,72.654328,96.0,260.0,146.0
23.221714,72.654328,23.0,60.0,30.0
21.170046,72.795405,35.0,44.0,41.0
22.969611,72.6435,34.0,83.0,67.0
22.969611,72.6435,3.0,11.0,8.0
23.002657,72.591912,62.0,132.0,89.0
23.002657,72.591912,33.0,95.0,63.0
23.020509,72.579261,131.0,196.0,156.0
23.016834,72.625775,94.0,320.0,166.0
23.041137,72.456691,130.0,194.0,158.0
23.041137,72.456691,10.0,16.0,13.0
23.023389,72.515201,79.0,137.0,103.0
23.023389,72.515201,95.0,123.0,112.0
28.674045,77.131023,44.0,107.0,65.0
28.674045,77.131023,16.0,138.0,32.0
28.639652,77.146275,143.0,469.0,363.0
28.63611,77.173332,58.0,422.0,312.0
28.63611,77.173332,71.0,466.0,333.0
28.563262,77.186937,18.0,180.0,92.0
28.732528,77.11992,8.0,17.0,12.0
28.684678,77.076574,93.0,500.0,383.0
28.60909,77.0325413,195.0,500.0,396.0
28.60909,77.0325413,38.0,94.0,52.0
28.570173,76.933762,20.0,126.0,81.0
28.570173,76.933762,3.0,25.0,9.0
28.822836,77.101981,108.0,500.0,329.0
28.822836,77.101981,7.0,12.0,9.0
28.822836,77.101981,5.0,41.0,14.0
28.6573814,77.1585447,31.0,230.0,105.0
28.623763,77.287209,48.0,154.0,92.0
21.613267,73.010555,22.0,23.0,23.0
21.613267,73.010555,6.0,6.0,6.0
21.613267,73.010555,4.0,103.0,45.0
23.243639,72.68994,7.0,16.0,10.0
23.243639,72.68994,2.0,46.0,20.0
28.6701,76.9254,12.0,13.0,13.0
28.6701,76.9254,45.0,50.0,48.0
28.6701,76.9254,16.0,19.0,18.0
28.806223,76.141105,1.0,9.0,8.0
28.806223,76.141105,10.0,14.0,12.0
29.0272,77.0621,6.0,10.0,8.0
29.0272,77.0621,29.0,64.0,59.0
29.0272,77.0621,25.0,26.0,26.0
30.1480566,77.2893471,20.0,456.0,212.0
30.1480566,77.2893471,11.0,21.0,16.0
30.943887,76.801991,26.0,108.0,59.0
30.943887,76.801991,6.0,87.0,37.0
23.80569,86.44268,49.0,50.0,50.0
13.003872,77.664217,58.0,79.0,67.0
13.003872,77.664217,27.0,44.0,29.0
13.003872,77.664217,4.0,5.0,4.0
13.003872,77.664217,38.0,48.0,46.0
13.0270199,77.494094,18.0,41.0,28.0
13.0270199,77.494094,3.0,4.0,4.0
13.0270199,77.494094,23.0,56.0,39.0
12.990328,77.5431385,15.0,18.0,17.0
12.917348,77.622813,84.0,168.0,109.0
29.966942,76.875879,5.0,5.0,5.0
27.9002,76.9938,20.0,23.0,22.0
27.9002,76.9938,13.0,14.0,13.0
27.9002,76.9938,30.0,37.0,34.0
27.9002,76.9938,54.0,90.0,76.0
28.360699,76.93609,88.0,500.0,301.0
28.060249,76.113115,11.0,37.0,32.0
16.172806,75.659694,22.0,36.0,34.0
