country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,PM2.5,66,187,90
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,PM10,92,152,110
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","13-01-2026 14:00:00",16.509717,80.612222,PM2.5,89,133,101
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","13-01-2026 14:00:00",16.509717,80.612222,NH3,4,7,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","13-01-2026 14:00:00",16.554731,80.649110,SO2,16,24,18
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","13-01-2026 14:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-01-2026 14:00:00",24.762518,84.982348,PM2.5,60,92,71
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-01-2026 14:00:00",24.762518,84.982348,NH3,3,5,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-01-2026 14:00:00",25.697189,85.245900,NH3,3,12,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","13-01-2026 14:00:00",26.0881305,87.93840336,PM2.5,25,40,31
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","13-01-2026 14:00:00",25.204762,85.514960,PM2.5,48,237,117
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","13-01-2026 14:00:00",25.204762,85.514960,OZONE,1,12,7
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","13-01-2026 14:00:00",25.7808257,84.7446768,PM2.5,40,143,77
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","13-01-2026 14:00:00",25.7808257,84.7446768,PM10,53,139,94
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","13-01-2026 14:00:00",26.146529,87.454184,NO2,1,12,4
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","13-01-2026 14:00:00",26.146529,87.454184,SO2,1,21,11
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","13-01-2026 14:00:00",25.5626095,84.663264,PM2.5,30,75,51
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","13-01-2026 14:00:00",30.735567,76.775714,CO,61,128,85
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","13-01-2026 14:00:00",30.735567,76.775714,OZONE,4,55,23
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-01-2026 14:00:00",30.751462,76.762879,PM2.5,170,317,273
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-01-2026 14:00:00",30.751462,76.762879,PM10,102,174,145
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-01-2026 14:00:00",30.751462,76.762879,OZONE,1,25,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-01-2026 14:00:00",21.194815,81.314770,PM2.5,15,40,29
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-01-2026 14:00:00",21.194815,81.314770,PM10,39,86,57
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-01-2026 14:00:00",21.194815,81.314770,SO2,6,24,9
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","13-01-2026 14:00:00",21.194815,81.314770,OZONE,2,47,18
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","13-01-2026 14:00:00",21.185571,81.343175,NO2,18,18,18
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","13-01-2026 14:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","13-01-2026 14:00:00",21.224231,81.408350,PM10,26,105,58
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","13-01-2026 14:00:00",22.08815,82.13737,PM2.5,26,98,62
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","13-01-2026 14:00:00",22.06631475,83.33820077,NH3,1,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","13-01-2026 14:00:00",22.06631475,83.33820077,OZONE,6,109,64
India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-01-2026 14:00:00",28.815329,77.153010,PM10,94,465,281
India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-01-2026 14:00:00",28.815329,77.153010,NO2,32,86,50
India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-01-2026 14:00:00",28.815329,77.153010,SO2,4,8,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-01-2026 14:00:00",28.815329,77.153010,CO,26,98,75
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.647622,77.3158090,CO,20,137,108
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.695381,77.181665,SO2,16,26,20
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.695381,77.181665,OZONE,4,94,32
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-01-2026 14:00:00",28.4706914,77.1099364,CO,37,120,91
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","13-01-2026 14:00:00",25.892357,86.590325,NO2,5,9,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","13-01-2026 14:00:00",25.892357,86.590325,CO,39,45,41
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","13-01-2026 14:00:00",25.859655,85.77944,PM2.5,60,371,150
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","13-01-2026 14:00:00",25.859655,85.77944,PM10,61,305,118
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","13-01-2026 14:00:00",24.952822,84.002396,PM10,53,112,76
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","13-01-2026 14:00:00",24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","13-01-2026 14:00:00",24.952822,84.002396,OZONE,8,17,16
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","13-01-2026 14:00:00",30.735567,76.775714,PM10,99,191,140
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-01-2026 14:00:00",28.5710274,77.0719006,PM2.5,123,500,417
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-01-2026 14:00:00",28.5710274,77.0719006,NH3,20,27,24
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","13-01-2026 14:00:00",28.5627763,77.1180053,CO,12,151,111
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-01-2026 14:00:00",28.6811736,77.3025234,NH3,8,19,14
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-01-2026 14:00:00",28.6811736,77.3025234,CO,36,100,61
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","13-01-2026 14:00:00",28.542460,77.191651,OZONE,7,55,23
India,Delhi,Delhi,"ITO, Delhi - CPCB","13-01-2026 14:00:00",28.628624,77.241060,PM2.5,96,500,367
India,Delhi,Delhi,"ITO, Delhi - CPCB","13-01-2026 14:00:00",28.628624,77.241060,PM10,106,444,303
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","13-01-2026 14:00:00",21.258815,81.578979,PM2.5,27,99,67
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","13-01-2026 14:00:00",21.258815,81.578979,OZONE,1,3,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","13-01-2026 14:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","13-01-2026 14:00:00",21.219665,81.630094,CO,32,115,54
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","13-01-2026 14:00:00",21.237755,81.705301,PM10,28,72,58
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","13-01-2026 14:00:00",21.237755,81.705301,CO,15,42,34
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","13-01-2026 14:00:00",21.237755,81.705301,OZONE,10,29,10
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","13-01-2026 14:00:00",21.371751,81.664929,NO2,45,70,52
India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-01-2026 14:00:00",28.776200,77.051074,PM2.5,237,500,390
India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-01-2026 14:00:00",28.776200,77.051074,PM10,127,500,306
India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-01-2026 14:00:00",28.776200,77.051074,NH3,8,11,9
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-01-2026 14:00:00",28.5512005,77.2735737,NO2,28,69,46
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-01-2026 14:00:00",28.656756,77.227234,PM2.5,163,480,364
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-01-2026 14:00:00",28.656756,77.227234,OZONE,1,117,45
India,Delhi,Delhi,"DTU, Delhi - CPCB","13-01-2026 14:00:00",28.7500499,77.1112615,PM10,116,415,247
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","13-01-2026 14:00:00",22.368195,82.746431,CO,17,37,28
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","13-01-2026 14:00:00",22.348441,82.549611,PM10,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","13-01-2026 14:00:00",22.126650,83.483212,NO2,13,71,35
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","13-01-2026 14:00:00",22.1910172,83.5197009,PM2.5,43,75,57
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-01-2026 14:00:00",25.599486,85.113666,NO2,27,192,89
